ICOUNT,MIN,AVG,MAX
16,181.86,182.33,184.11
17,181.14,181.30,181.89
18,181.28,181.47,183.02
19,181.27,181.45,182.08
20,181.26,181.41,181.80
21,181.29,181.47,181.65
22,181.75,181.90,182.23
23,181.57,181.71,182.01
24,181.61,181.72,181.94
25,182.23,182.44,182.63
26,182.05,182.22,182.72
27,182.02,182.20,183.18
28,181.96,182.11,182.35
29,181.91,182.11,182.66
30,182.05,182.23,182.50
31,181.96,182.12,182.45
32,182.28,182.43,183.06
33,182.52,182.66,182.94
34,183.30,183.44,183.63
35,183.28,183.41,183.79
36,183.13,183.24,183.49
37,182.98,183.16,184.06
38,183.04,183.19,183.61
39,183.00,183.17,183.74
40,182.89,183.02,183.38
41,182.94,183.07,183.65
42,182.99,183.14,183.32
43,182.98,183.11,183.44
44,183.27,183.46,184.09
45,183.51,183.68,184.03
46,183.94,184.11,184.26
47,184.37,184.51,184.70
48,184.25,184.40,185.09
49,183.87,184.05,184.49
50,183.86,184.00,184.18
51,183.81,183.94,184.30
52,183.64,183.81,184.33
53,183.75,183.88,184.09
54,184.05,184.19,184.76
55,184.34,184.49,184.66
56,184.41,184.57,184.88
57,184.57,184.70,184.92
58,184.51,184.67,185.35
59,184.71,184.85,185.07
60,184.53,184.71,185.07
61,184.54,184.69,184.96
62,184.86,184.99,185.22
63,185.82,185.92,186.17
64,185.75,185.91,186.53
65,186.95,187.07,187.26
66,187.14,187.27,187.46
67,186.80,187.20,189.01
68,187.12,187.31,187.50
69,186.82,187.24,187.75
70,186.79,186.96,187.30
71,187.04,187.22,187.70
72,186.92,187.33,188.12
73,186.89,187.11,188.24
74,187.24,187.41,188.10
75,187.31,187.44,187.61
76,187.31,187.44,187.73
77,187.60,187.68,188.51
78,187.60,187.73,189.21
79,187.61,187.73,188.43
80,187.71,187.83,187.92
81,187.59,187.72,187.90
82,187.76,187.86,188.13
83,188.30,188.45,188.68
84,188.40,188.49,188.95
85,188.41,188.55,189.06
86,188.60,188.76,190.13
87,188.23,188.34,189.15
88,188.13,188.30,189.12
89,188.20,188.35,189.12
90,188.37,188.51,188.99
91,188.86,188.96,189.64
92,188.91,188.96,189.14
93,188.92,188.99,189.14
94,189.11,189.19,189.30
95,189.05,189.14,189.30
96,189.11,189.17,189.33
97,189.08,189.14,189.46
98,189.35,189.43,189.92
99,189.94,190.03,190.37
100,189.95,190.02,190.23
101,189.95,190.04,190.97
102,190.12,190.24,191.05
103,190.07,190.14,190.36
104,189.94,190.03,190.18
105,189.98,190.05,190.29
106,190.13,190.22,190.66
107,191.38,191.48,192.09
108,191.43,191.53,191.99
109,191.38,191.48,192.13
110,191.56,191.64,192.14
111,190.85,190.93,191.58
112,191.04,191.14,191.76
113,190.80,190.90,191.69
114,191.18,191.27,192.03
115,192.84,192.92,193.16
116,192.83,192.89,193.03
117,192.43,192.52,193.34
118,192.23,192.33,193.85
119,192.44,192.56,193.43
120,192.38,192.51,193.46
121,192.47,192.58,193.36
122,192.73,192.83,192.98
123,193.20,193.27,193.46
124,192.89,192.97,193.27
125,192.94,193.04,193.41
126,199.17,199.35,199.94
127,194.50,194.70,195.16
128,204.26,204.56,205.49
129,238.08,240.41,243.15
130,252.97,254.42,255.57
131,324.88,325.09,325.34
132,317.69,317.94,318.36
133,316.87,318.41,319.87
134,326.73,326.93,327.20
135,326.92,327.07,327.43
136,326.95,327.17,327.56
137,326.78,327.03,327.24
138,327.34,327.50,327.78
139,327.44,327.62,327.84
140,327.72,327.89,328.16
141,327.67,327.83,328.03
142,327.96,328.10,328.34
143,328.14,328.28,328.56
144,328.29,328.44,328.68
145,328.04,328.21,328.51
146,328.40,328.73,330.36
147,329.40,329.63,330.50
148,329.48,329.81,330.56
149,329.31,329.62,331.03
150,329.57,329.83,331.20
151,329.65,330.14,331.83
152,330.30,330.51,331.51
153,330.46,330.83,332.39
154,331.62,332.81,333.73
155,333.06,333.24,333.49
156,332.86,333.04,333.40
157,332.91,333.08,333.33
158,333.32,334.71,337.29
159,334.83,334.99,335.44
160,334.93,335.18,336.67
161,334.75,334.99,336.27
162,335.10,335.64,337.13
163,335.14,335.84,337.19
164,335.12,335.36,336.98
165,335.09,335.29,335.61
166,335.33,335.55,335.96
167,335.58,335.77,336.18
168,335.48,335.66,336.13
169,335.47,336.16,337.65
170,336.86,337.29,338.43
171,333.87,335.37,337.59
172,333.92,334.62,335.61
173,334.78,335.01,336.08
174,335.05,335.87,338.13
175,335.31,335.51,336.09
176,335.53,335.71,336.25
177,335.32,335.48,336.07
178,334.42,334.66,336.00
179,334.39,334.61,335.66
180,334.04,335.32,336.82
181,333.85,334.20,335.70
182,333.88,334.43,335.63
183,334.69,335.39,337.32
184,335.55,335.73,336.14
185,335.75,336.42,337.83
186,336.49,336.62,336.83
187,337.16,337.29,337.61
188,336.97,337.12,337.38
189,336.96,337.15,337.40
190,337.08,337.22,337.48
191,337.42,337.55,337.77
192,337.30,337.50,337.89
193,337.46,337.57,337.77
194,337.57,337.79,339.20
195,337.72,337.96,338.89
196,337.83,338.00,338.25
197,337.82,337.98,338.21
198,337.77,337.98,339.58
199,338.62,338.74,339.17
200,338.68,338.79,339.05
201,338.57,338.69,338.91
202,339.74,341.01,341.36
203,341.07,341.19,341.42
204,341.01,341.12,341.33
205,340.99,341.16,341.86
206,341.13,341.26,341.84
207,341.35,341.55,342.67
208,341.44,341.61,341.92
209,341.43,341.59,341.80
210,341.32,341.48,341.80
211,341.58,341.72,341.96
212,341.67,341.76,342.00
213,341.69,341.85,342.09
214,341.69,341.89,343.28
215,342.23,342.38,342.86
216,342.09,342.31,342.49
217,342.21,342.48,344.03
218,341.03,341.53,343.12
219,341.27,342.28,343.23
220,342.42,342.82,345.09
221,342.31,342.53,343.98
222,342.48,343.44,344.50
223,343.62,343.82,345.62
224,343.74,343.85,344.04
225,343.53,343.71,343.87
226,343.61,343.78,344.05
227,343.93,344.14,345.49
228,342.97,343.17,344.38
229,342.90,343.15,344.56
230,342.89,343.09,343.85
231,344.03,344.15,344.59
232,344.12,344.31,345.46
233,344.03,344.16,344.35
234,344.11,344.25,344.43
235,344.89,345.01,345.23
236,344.95,345.08,345.28
237,344.88,345.00,345.24
238,344.88,345.06,345.46
239,346.07,346.30,347.82
240,346.09,346.25,347.81
241,346.09,346.22,346.50
242,346.25,346.43,346.66
243,347.79,347.89,348.10
244,347.82,347.98,348.96
245,347.41,347.65,348.99
246,346.50,346.96,348.61
247,347.31,347.56,349.16
248,347.34,347.48,347.67
249,347.48,347.66,348.15
250,347.56,347.74,348.61
251,347.56,348.31,349.56
252,347.44,348.54,350.21
253,349.19,349.94,350.80
254,349.51,349.75,350.46
255,350.29,350.45,350.68
256,349.88,350.03,350.32
