ICOUNT,MIN,AVG,MAX
16,181.32,181.59,182.90
17,180.82,181.23,181.74
18,181.06,181.21,181.63
19,181.13,181.30,182.52
20,181.12,181.27,181.62
21,181.04,181.18,181.53
22,181.19,181.37,181.61
23,181.30,181.48,182.22
24,181.53,181.73,182.35
25,181.53,181.68,181.92
26,181.87,182.05,182.35
27,181.92,182.08,182.44
28,181.89,182.02,182.35
29,182.31,182.45,182.71
30,181.95,182.12,182.33
31,181.84,182.04,182.90
32,182.20,182.41,183.58
33,182.49,182.63,183.27
34,182.91,183.03,183.41
35,183.22,183.37,183.98
36,182.97,183.10,183.40
37,182.83,182.96,183.23
38,182.89,183.01,183.31
39,182.76,182.93,183.16
40,182.85,183.01,183.30
41,182.80,182.96,183.14
42,182.89,183.05,183.21
43,182.90,183.05,183.22
44,183.21,183.34,183.66
45,184.00,184.18,185.16
46,183.92,184.12,185.24
47,184.27,184.42,184.98
48,184.01,184.17,184.76
49,183.79,183.97,184.62
50,183.96,184.07,184.36
51,183.70,183.80,183.96
52,183.50,183.63,183.94
53,183.55,183.65,183.86
54,183.93,184.08,184.54
55,184.15,184.28,184.56
56,184.21,184.37,184.62
57,184.12,184.27,184.78
58,184.32,184.48,184.84
59,184.35,184.49,184.79
60,184.33,184.49,184.81
61,184.66,184.80,184.94
62,184.81,184.97,185.56
63,185.56,185.65,185.82
64,185.51,185.64,186.00
65,185.52,185.63,185.96
66,185.61,185.71,185.97
67,185.40,185.56,185.79
68,185.30,185.49,185.82
69,185.34,185.47,185.75
70,185.50,185.64,185.88
71,185.57,185.95,186.77
72,186.18,186.36,186.56
73,186.04,186.19,186.71
74,186.21,186.38,187.51
75,186.04,186.21,186.92
76,187.07,187.35,188.18
77,187.76,187.88,188.11
78,187.28,187.63,188.39
79,187.32,187.43,187.72
80,187.34,187.44,187.70
81,187.29,187.41,189.12
82,187.60,187.75,189.58
83,188.12,188.25,189.37
84,188.12,188.23,188.45
85,188.12,188.21,188.43
86,188.17,188.26,188.49
87,187.93,188.05,188.27
88,188.10,188.21,188.82
89,187.90,188.05,188.72
90,188.27,188.47,190.45
91,188.63,188.77,189.84
92,188.68,188.78,189.50
93,188.70,188.82,189.91
94,188.82,188.96,189.69
95,188.83,188.98,190.04
96,188.89,188.98,189.39
97,188.91,189.06,189.90
98,189.25,189.35,189.62
99,189.84,189.93,190.32
100,189.86,189.94,190.29
101,189.78,189.89,190.52
102,189.87,189.95,190.31
103,189.79,189.88,190.08
104,189.94,190.01,190.21
105,189.86,189.94,190.61
106,190.09,190.22,192.44
107,190.19,190.28,191.14
108,190.48,190.56,190.73
109,191.10,191.17,191.39
110,191.14,191.23,191.44
111,191.09,191.18,192.03
112,190.83,190.94,191.72
113,190.53,190.63,191.83
114,190.72,190.81,191.88
115,190.73,190.88,192.62
116,190.79,190.94,191.63
117,190.84,190.95,192.09
118,191.22,191.34,192.43
119,191.33,191.43,191.81
120,191.55,191.65,192.32
121,192.03,192.16,193.11
122,192.23,192.34,193.64
123,192.85,192.98,194.15
124,192.69,192.81,194.59
125,192.30,192.44,193.04
126,192.52,192.58,192.87
127,192.43,192.54,192.98
128,192.45,192.55,192.74
129,192.46,192.57,192.81
130,192.84,192.95,193.78
131,192.85,192.93,193.14
132,192.91,192.98,193.17
133,192.92,192.99,193.19
134,193.14,193.24,193.45
135,193.28,193.35,193.53
136,193.32,193.40,193.74
137,193.42,193.47,193.72
138,193.64,193.72,193.95
139,193.74,193.81,194.14
140,193.80,193.88,194.19
141,193.88,193.95,194.12
142,194.13,194.20,194.38
143,194.28,194.36,194.55
144,194.36,194.44,194.74
145,194.49,194.62,195.53
146,194.75,194.86,195.53
147,194.76,194.86,195.77
148,194.87,194.99,195.53
149,194.94,195.07,195.65
150,195.12,195.25,195.50
151,195.15,195.25,195.99
152,195.21,195.28,195.56
153,195.28,195.35,195.67
154,195.52,195.60,195.85
155,195.67,195.76,196.07
156,196.79,196.90,197.24
157,196.87,196.97,197.38
158,197.06,197.15,197.54
159,197.20,197.28,197.45
160,197.23,197.33,197.75
161,197.34,197.42,197.73
162,197.47,197.55,197.83
163,196.44,196.57,197.77
164,197.64,197.75,197.97
165,197.66,197.78,198.06
166,198.01,198.10,198.32
167,198.13,198.22,198.55
168,198.18,198.25,198.47
169,198.22,198.31,198.55
170,198.45,198.54,198.74
171,198.51,198.60,198.76
172,198.61,198.74,199.64
173,198.70,198.84,199.36
174,198.87,199.01,199.25
175,199.11,199.21,199.82
176,199.20,199.29,199.52
177,199.32,199.39,199.64
178,199.48,199.61,200.47
179,199.55,199.64,200.15
180,199.68,199.77,200.17
181,199.74,200.23,201.49
182,200.40,200.48,200.75
183,200.41,200.54,201.13
184,200.55,200.64,201.10
185,200.50,200.75,201.52
186,200.80,200.96,201.48
187,201.08,201.16,201.35
188,201.12,201.30,202.00
189,201.32,201.43,201.77
190,200.94,201.11,202.13
191,201.12,201.26,201.78
192,201.14,201.24,201.66
193,201.17,201.27,201.54
194,201.43,201.51,201.81
195,201.48,201.61,202.32
196,201.62,201.71,202.01
197,201.64,201.72,201.92
198,201.90,201.97,202.14
199,201.89,202.07,202.24
200,202.05,202.15,202.41
201,202.02,202.22,202.45
