ICOUNT,MIN,AVG,MAX
243,336.27,337.11,338.69
244,336.08,336.70,337.78
245,335.78,336.09,337.42
246,336.05,336.24,336.71
247,336.01,336.23,336.52
248,336.05,336.29,336.66
249,336.29,337.58,338.87
250,338.01,338.24,338.63
251,338.01,338.17,338.88
252,338.50,338.66,339.37
253,338.36,338.51,339.05
254,338.58,338.81,339.08
255,338.64,339.00,341.05
256,340.45,340.64,340.80
