ICOUNT,MIN,AVG,MAX
16,184.18,184.51,186.04
17,183.97,184.19,184.37
18,184.10,184.29,184.63
19,183.64,183.90,184.61
20,183.59,183.77,183.99
21,183.67,183.92,184.33
22,183.82,184.02,184.27
23,183.83,184.01,184.22
24,183.98,184.15,184.37
25,184.06,184.27,184.51
26,184.31,184.53,184.80
27,184.43,184.60,184.79
28,184.34,184.48,184.70
29,184.24,184.41,184.59
30,184.31,184.50,185.40
31,184.22,184.38,184.55
32,184.13,184.30,184.51
33,184.59,184.74,185.18
34,184.83,184.98,185.49
35,184.94,185.09,185.58
36,184.73,184.88,185.46
37,184.70,184.86,185.13
38,184.64,184.83,185.31
39,184.38,184.54,184.69
40,184.40,184.58,184.80
41,184.64,184.81,185.02
42,184.69,184.86,185.14
43,184.71,184.84,185.01
44,184.74,184.89,185.04
45,185.16,185.30,185.49
46,186.49,186.64,186.75
47,186.74,186.92,187.63
48,186.38,186.57,186.77
49,186.07,186.23,186.43
50,186.04,186.59,188.73
51,186.18,186.44,186.68
52,186.04,186.22,186.93
53,186.15,186.30,186.50
54,186.18,186.38,187.52
55,186.68,186.80,186.96
56,186.60,186.76,187.16
57,186.60,186.71,186.85
58,186.94,187.06,187.19
59,187.12,187.25,188.23
60,186.80,187.07,187.22
61,185.88,186.34,187.28
62,187.33,187.61,189.45
63,188.40,188.50,188.66
64,188.34,188.55,188.99
65,188.37,188.48,188.60
66,187.78,188.43,188.71
67,188.24,188.42,189.10
68,188.35,188.46,188.61
69,188.35,188.48,188.64
70,188.55,188.66,188.83
71,188.59,188.70,188.89
72,188.64,188.79,188.92
73,188.57,188.70,188.97
74,188.85,188.98,189.09
75,188.87,189.10,189.32
76,188.93,189.06,189.16
77,189.00,189.09,189.19
78,189.14,189.30,189.68
79,189.49,189.64,189.76
80,189.37,189.48,189.60
81,189.94,190.07,190.19
82,190.40,190.52,191.08
83,190.53,190.97,191.25
84,190.41,190.54,190.93
85,190.54,190.85,191.22
86,190.73,190.84,190.96
87,189.53,190.06,191.12
88,192.15,192.24,192.49
89,191.40,191.51,191.61
90,191.69,191.79,191.91
91,192.05,192.31,192.44
92,192.98,193.05,193.16
93,192.85,192.94,193.03
94,194.39,194.52,195.08
95,194.76,194.88,195.52
96,194.79,194.90,195.28
97,195.33,195.43,195.71
98,195.89,196.27,198.57
99,196.31,196.47,197.28
100,195.91,196.24,196.66
101,196.74,196.92,197.31
102,197.25,197.48,197.88
103,198.25,198.39,199.82
104,197.99,198.10,198.18
105,198.44,198.53,198.80
106,198.68,198.93,199.01
107,199.66,199.74,199.83
108,199.41,199.49,199.59
109,199.81,199.89,199.97
110,200.32,200.41,200.49
111,201.10,201.18,201.29
112,200.79,200.98,201.12
113,201.28,201.35,201.43
114,201.68,201.89,202.48
115,202.51,202.59,202.72
116,202.33,202.48,202.60
117,202.80,202.90,202.99
118,203.32,203.42,203.51
119,204.11,204.22,204.45
120,204.23,204.30,204.37
121,203.07,203.27,204.82
122,205.03,205.13,205.51
123,207.88,208.58,209.14
124,225.31,227.41,230.51
125,229.27,230.61,231.89
126,277.47,278.28,279.49
127,278.78,281.40,284.24
128,331.22,332.21,333.30
129,332.21,332.58,335.09
130,332.62,332.93,333.94
131,332.67,332.92,333.19
132,332.52,332.73,333.03
133,332.60,332.85,333.40
134,332.78,333.07,333.25
135,333.05,333.25,334.00
136,332.87,333.09,333.29
137,333.02,333.41,335.19
138,333.55,333.74,334.05
139,333.72,334.04,335.42
140,333.58,333.96,335.68
141,333.68,334.42,335.94
142,334.69,334.92,335.88
143,336.19,336.40,337.19
144,336.24,336.85,337.56
145,336.27,337.41,339.01
146,336.41,336.90,339.50
147,338.83,339.03,339.78
148,338.92,339.12,339.75
149,337.46,338.00,339.17
150,339.06,339.21,339.64
151,339.08,339.32,340.07
152,339.17,339.57,342.06
153,339.27,339.44,339.75
154,339.52,339.67,339.82
155,339.80,340.08,341.94
156,339.90,340.39,342.40
157,338.44,338.77,340.49
158,338.70,338.87,339.40
159,338.67,338.88,339.16
160,338.71,338.95,339.44
161,338.72,338.92,339.22
162,338.93,339.09,339.92
163,339.25,339.53,340.64
164,339.35,339.97,341.16
165,340.54,340.75,341.92
166,340.70,340.90,341.69
167,339.81,340.00,341.03
168,338.85,339.59,340.93
169,338.67,338.93,339.94
170,338.38,338.75,339.87
171,338.70,339.28,341.68
172,340.26,340.45,340.65
173,340.19,340.36,340.88
174,340.25,340.38,340.86
175,340.42,340.61,341.03
176,340.44,340.68,340.88
177,340.54,340.70,341.51
178,340.63,341.82,342.77
179,342.37,342.76,343.91
180,342.51,342.90,344.76
