ICOUNT,MIN,AVG,MAX
16,187.71,188.56,191.12
17,187.61,187.85,188.20
18,187.69,187.92,188.30
19,187.65,187.92,188.55
20,187.63,187.87,188.37
21,187.62,187.87,188.21
22,187.67,187.94,188.52
23,187.66,187.93,188.35
24,187.95,188.18,188.69
25,187.89,188.11,188.31
26,188.11,188.38,188.93
27,188.15,188.31,188.82
28,188.02,188.24,188.50
29,188.47,188.66,189.12
30,187.96,188.16,188.47
31,187.74,187.99,188.74
32,187.91,188.10,188.48
33,188.09,188.27,188.84
34,188.35,188.51,188.80
35,188.52,188.69,189.18
36,188.39,188.54,188.90
37,188.28,188.46,188.81
38,188.30,188.49,188.96
39,188.12,188.35,188.85
40,188.34,188.48,188.84
41,188.21,188.42,188.84
42,188.26,188.48,188.66
43,188.28,188.47,188.87
44,188.49,188.62,189.02
45,189.18,189.33,189.45
46,188.98,189.12,189.58
47,189.19,189.33,189.84
48,188.98,189.12,189.57
49,188.78,188.96,189.36
50,188.95,189.11,189.64
51,188.62,188.82,189.12
52,188.58,188.78,189.27
53,188.46,188.63,188.85
54,188.89,189.06,189.47
55,189.49,189.59,189.90
56,189.59,189.70,190.28
57,189.49,189.58,190.08
58,189.66,189.79,190.19
59,189.70,189.83,190.28
60,189.73,189.84,190.09
61,189.89,190.02,190.49
62,189.97,190.12,190.33
63,190.44,190.56,190.94
64,190.42,190.57,190.87
65,190.42,190.55,191.05
66,190.64,190.75,191.02
67,190.57,190.68,191.11
68,190.48,190.61,190.97
69,190.47,190.59,191.00
70,190.62,190.74,190.96
71,190.64,190.82,191.38
72,190.73,190.91,191.36
73,190.69,190.84,191.13
74,190.89,191.08,191.59
75,191.07,191.23,191.58
76,192.18,192.33,192.74
77,192.31,192.49,192.75
78,192.38,192.54,192.99
79,192.42,192.60,192.99
80,192.33,192.55,192.98
81,192.29,192.46,192.82
82,192.78,192.91,193.38
83,193.24,193.44,193.65
84,193.31,193.42,193.86
85,193.32,193.43,193.90
86,193.27,193.52,193.81
87,193.24,193.72,195.49
88,193.74,193.87,194.18
89,193.65,193.79,194.50
90,193.91,194.03,194.34
91,194.22,194.32,194.79
92,194.25,194.37,194.82
93,194.27,194.39,194.81
94,194.59,194.72,195.10
95,194.39,194.66,195.13
96,194.58,194.72,195.16
97,194.45,194.70,195.02
98,194.68,194.91,195.65
99,195.30,195.59,195.99
100,195.49,195.65,196.13
101,195.07,195.25,195.61
102,195.02,195.27,195.76
103,195.05,195.17,195.82
104,195.13,195.27,195.77
105,195.28,195.42,195.51
106,195.35,195.52,195.88
107,196.26,196.36,196.80
108,196.35,196.50,196.98
109,195.86,196.01,196.53
110,196.22,196.33,196.70
111,196.07,196.17,196.63
112,196.14,196.25,196.52
113,196.34,196.44,197.00
114,196.80,196.97,197.48
115,197.13,197.21,197.74
116,197.03,197.32,197.72
117,197.34,197.48,197.86
118,197.35,197.49,197.89
119,197.42,197.54,197.83
120,197.61,197.72,198.15
121,197.40,197.64,197.92
122,197.85,197.94,198.41
123,197.94,198.05,198.22
124,202.30,202.41,202.93
125,198.59,198.68,199.46
126,228.42,229.84,231.12
127,265.67,267.00,268.86
128,332.36,332.67,333.25
129,339.07,339.37,339.76
130,335.49,335.80,336.26
131,336.73,336.99,337.47
132,338.87,339.65,341.03
133,339.80,340.25,341.39
134,339.96,340.25,341.65
135,340.04,340.28,340.96
136,340.51,340.76,341.18
137,340.09,340.42,340.99
138,340.28,340.55,341.79
