ICOUNT,MIN,AVG,MAX
16,188.50,189.00,190.20
17,188.43,188.80,189.41
18,188.49,188.92,189.38
19,188.56,188.92,189.50
20,188.06,188.57,189.43
21,188.00,188.46,189.08
22,188.07,188.51,189.06
23,188.05,188.54,188.92
24,188.13,188.63,189.21
25,188.27,188.69,189.12
26,188.52,188.92,189.32
27,188.48,188.92,189.32
28,188.46,188.89,190.56
29,188.81,189.20,189.55
30,188.82,189.21,189.66
31,188.81,189.23,189.55
32,188.73,189.08,189.61
33,189.14,189.50,189.81
34,189.33,189.71,190.21
35,189.46,189.93,190.44
36,189.23,189.67,190.00
37,189.28,189.70,190.31
38,189.19,189.70,190.11
39,188.74,189.12,189.51
40,188.33,188.94,189.63
41,188.66,189.06,189.42
42,188.74,189.15,189.48
43,188.69,189.13,189.54
44,188.70,189.17,189.55
45,189.10,189.58,189.86
46,190.57,190.95,191.31
47,190.65,191.14,191.58
48,190.31,190.82,191.13
49,189.98,190.48,190.93
50,189.89,190.41,190.87
51,189.96,190.48,190.94
52,189.92,190.38,190.68
53,190.09,190.51,190.87
54,190.17,190.61,190.90
55,190.68,191.18,191.56
56,190.67,191.12,191.39
57,190.68,191.11,191.73
58,190.94,191.38,191.73
59,191.03,191.53,191.93
60,190.94,191.43,191.79
61,190.99,191.49,192.18
62,191.15,191.64,192.01
63,191.73,192.22,192.49
64,191.84,192.33,192.69
65,191.84,192.53,192.98
66,191.71,192.22,192.83
67,191.55,192.08,192.60
68,191.66,192.11,192.53
69,191.65,192.14,192.48
70,191.81,192.28,192.64
71,191.88,192.38,192.69
72,191.86,192.42,192.81
73,191.86,192.37,192.68
74,192.07,192.71,193.08
75,192.31,192.84,193.13
76,192.30,192.85,193.43
77,192.43,193.11,194.06
78,193.05,193.53,193.89
79,193.35,193.51,193.87
80,193.26,193.76,194.09
81,193.83,194.36,194.67
82,194.33,194.76,194.96
83,194.88,195.35,195.72
84,194.90,195.34,195.67
85,195.21,195.68,196.09
86,194.83,195.40,196.06
87,194.86,195.37,195.73
88,196.05,196.55,196.86
89,195.57,196.06,196.41
90,195.77,196.29,196.58
91,196.27,196.77,197.04
