ICOUNT,MIN,AVG,MAX
16,159.08,159.55,160.68
17,158.50,159.01,159.83
18,158.51,158.76,159.18
19,158.48,158.76,159.28
20,158.45,158.76,159.12
21,158.84,159.16,159.55
22,158.85,159.17,159.59
23,158.12,158.96,159.67
24,158.10,158.44,158.80
25,158.05,158.38,158.84
26,158.08,158.46,158.79
27,158.09,158.43,158.76
28,158.09,158.44,158.75
29,158.20,158.61,158.94
30,158.34,158.72,159.00
31,158.35,158.71,159.02
32,158.33,158.68,159.09
33,158.28,158.64,158.98
34,158.06,158.62,158.95
35,158.05,158.44,158.70
36,158.04,158.39,158.72
37,158.03,158.38,158.72
38,158.01,158.38,158.69
39,158.03,158.43,158.71
40,158.05,158.53,159.07
41,158.33,158.37,158.45
42,158.32,158.71,159.52
43,158.31,158.69,158.99
44,158.32,158.70,159.01
45,158.30,158.70,158.99
46,158.04,158.40,158.69
47,158.35,158.78,159.00
48,158.89,159.45,159.62
49,159.07,159.54,159.82
50,159.26,159.65,159.91
51,159.23,159.64,159.89
52,159.21,159.61,159.93
53,159.19,159.61,159.86
54,159.17,159.60,159.87
55,159.17,159.57,159.89
56,159.15,159.57,159.83
57,159.16,159.55,159.81
58,159.16,159.59,159.84
59,160.24,160.63,160.91
60,160.23,160.48,160.74
61,160.24,160.67,160.94
62,160.21,160.51,160.79
63,160.20,160.46,160.74
64,160.20,160.55,160.74
65,160.17,160.61,161.10
66,160.20,160.46,160.74
67,160.20,160.46,160.79
68,160.11,160.38,160.66
69,159.78,160.43,160.70
70,160.51,160.95,161.23
71,163.33,163.99,164.78
72,163.80,165.64,166.78
73,166.91,168.07,168.48
74,167.37,168.26,168.76
75,168.29,168.89,169.16
76,168.46,169.08,169.36
77,168.78,169.56,171.17
78,169.73,170.57,171.18
79,170.08,171.16,171.76
80,170.05,170.85,171.70
81,171.49,172.20,172.80
82,171.92,172.78,173.98
83,172.83,173.42,173.80
84,173.27,173.96,174.54
85,173.64,174.33,174.79
86,173.96,174.46,175.68
87,173.97,174.61,175.16
88,172.70,173.68,174.81
89,173.85,174.18,174.58
90,173.91,174.57,174.95
91,173.78,174.37,174.78
92,174.08,174.58,174.84
93,174.24,174.95,175.26
94,174.34,175.01,175.30
95,175.04,175.68,175.98
96,175.45,176.28,176.77
97,176.82,177.38,177.62
98,176.09,176.81,177.44
99,176.18,176.75,177.03
100,175.35,176.25,177.26
101,177.38,178.11,178.47
102,177.46,178.06,178.38
103,178.02,178.72,179.25
104,178.03,178.68,179.05
105,178.80,179.38,179.74
106,178.63,179.21,179.44
107,179.12,179.73,180.05
108,178.63,179.34,179.91
109,178.92,179.58,180.02
110,178.82,179.30,179.58
111,179.09,179.61,179.90
112,178.74,179.72,180.41
113,179.93,180.48,180.83
114,179.80,180.34,180.65
115,180.02,180.62,181.21
116,180.06,180.67,181.01
117,180.16,180.70,181.09
118,179.90,180.76,181.16
119,180.19,180.81,181.24
120,181.65,182.34,182.77
121,181.72,182.35,182.68
122,182.61,183.00,183.24
123,182.62,183.16,183.40
124,182.54,183.19,183.41
125,183.87,184.42,184.91
126,184.05,184.81,185.09
127,184.53,185.21,185.49
128,184.27,184.95,185.33
129,184.54,185.10,185.33
130,184.77,185.28,185.52
131,184.89,185.48,185.76
132,184.71,185.30,185.62
133,184.97,185.48,185.69
134,185.11,185.78,186.08
135,185.50,186.10,186.44
136,185.50,186.07,186.37
137,185.99,186.84,188.04
138,187.08,187.87,188.13
139,188.72,189.89,190.59
140,202.73,205.48,207.62
141,232.80,241.66,252.02
142,245.33,252.06,261.13
143,258.81,275.20,286.32
144,283.68,297.93,308.57
145,312.54,321.32,327.99
146,309.80,320.84,328.60
147,315.02,321.63,329.59
148,321.54,328.65,331.19
149,328.50,331.23,332.79
150,330.79,331.53,332.03
151,331.21,331.87,332.34
152,331.42,332.16,332.56
153,331.77,332.52,332.91
154,332.53,333.21,333.69
155,332.38,333.16,333.64
156,332.47,333.21,333.52
157,333.05,333.82,335.10
158,333.27,333.95,334.26
159,333.97,334.60,335.79
160,333.83,334.66,335.03
161,335.75,336.42,336.97
162,335.37,336.14,336.94
163,336.13,337.03,337.50
164,337.15,337.99,338.52
165,337.06,338.07,338.55
166,337.63,338.57,338.98
167,338.09,338.90,340.04
168,338.41,339.10,339.81
169,337.86,339.51,340.25
170,339.15,339.78,340.31
171,339.28,339.99,340.49
172,339.21,339.84,340.30
173,339.09,341.20,344.84
174,343.86,344.46,344.85
175,343.75,344.42,344.79
176,342.66,343.96,344.91
177,342.11,342.65,343.00
178,342.00,342.59,343.06
179,342.35,342.92,343.22
180,342.95,343.61,343.93
181,342.89,344.21,344.83
182,342.63,343.38,343.73
183,343.20,343.90,344.35
184,343.18,343.79,344.04
185,343.36,343.83,344.29
186,343.22,343.80,344.37
187,342.64,343.31,343.66
188,343.49,344.13,344.58
189,344.65,345.60,346.04
190,343.97,344.83,345.26
191,346.04,346.83,347.20
192,345.03,345.47,346.09
193,346.41,347.02,347.39
194,345.77,346.31,346.68
195,346.26,346.95,347.23
196,346.29,346.89,347.27
197,345.31,346.89,349.39
198,347.76,348.56,349.78
199,347.80,348.58,350.22
200,349.18,349.79,350.19
201,350.53,351.11,351.44
202,348.76,349.79,352.07
203,349.75,350.65,353.62
204,352.25,353.30,354.81
205,353.46,353.99,354.92
206,352.66,353.31,353.66
207,352.68,353.67,354.93
208,351.85,352.47,352.74
209,353.23,353.77,354.18
210,352.06,352.63,352.98
211,353.09,353.77,354.13
212,351.91,352.68,353.69
213,353.41,354.18,354.89
214,351.85,352.42,352.70
215,352.23,352.85,353.15
216,351.32,351.87,352.15
217,352.10,353.09,355.39
218,352.12,352.85,353.56
219,352.36,353.05,353.52
220,352.39,353.01,353.36
221,352.13,352.94,355.44
222,352.42,352.78,353.61
223,352.49,353.37,353.96
224,351.97,352.57,352.97
225,352.20,352.74,353.19
226,352.28,352.93,354.28
227,352.50,353.15,354.71
228,353.62,354.25,355.20
229,353.80,354.43,354.93
230,353.16,353.77,354.33
231,353.29,353.90,354.45
232,353.12,353.74,354.31
233,353.91,354.61,355.11
234,354.02,357.46,359.33
235,358.21,358.88,359.35
236,358.24,358.91,359.27
237,358.40,359.88,361.32
238,359.04,359.83,361.83
239,359.74,360.34,360.84
240,359.79,360.47,360.76
241,361.41,362.01,362.88
242,358.03,358.62,360.55
243,359.06,359.62,359.83
244,358.81,360.26,361.80
245,361.26,361.85,362.22
246,359.96,361.08,362.31
247,360.16,360.84,362.32
248,360.52,361.29,361.79
249,361.42,361.92,362.42
250,362.19,363.54,365.37
251,362.49,363.79,364.94
252,363.39,364.28,365.14
253,364.66,365.18,365.54
254,364.35,364.93,365.46
255,364.49,365.18,365.57
