ICOUNT,MIN,AVG,MAX
16,157.22,158.11,159.76
17,157.15,157.42,157.84
18,157.16,157.48,157.92
19,157.15,157.47,157.86
20,157.10,157.46,157.97
21,157.20,157.52,157.91
22,157.18,157.50,157.92
23,157.17,157.49,157.87
24,157.18,157.52,157.86
25,157.21,157.55,157.90
26,157.21,157.59,157.95
27,156.98,157.53,157.90
28,156.97,157.34,157.70
29,156.92,157.30,157.63
30,156.86,157.26,157.63
31,156.93,157.37,158.66
32,157.12,157.69,158.09
33,157.30,157.75,158.35
34,157.28,157.67,157.97
35,157.26,157.65,158.19
36,157.28,157.68,158.22
37,157.26,157.67,157.97
38,157.22,157.83,158.80
39,157.63,158.01,158.34
40,157.61,158.04,158.61
41,157.63,157.69,157.77
42,157.64,158.03,158.71
43,157.57,158.03,158.31
44,157.94,158.34,158.58
45,157.98,158.35,158.62
46,157.87,158.28,158.57
47,157.84,158.47,158.89
48,158.19,158.61,158.92
49,158.18,158.60,159.19
50,157.82,158.26,158.55
51,157.83,158.26,158.53
52,157.82,158.22,158.52
53,157.82,158.23,158.64
54,157.83,158.25,158.55
55,157.79,158.23,158.51
56,157.79,158.24,158.64
57,157.79,158.21,158.50
58,157.81,158.25,158.67
59,157.79,158.24,158.52
60,158.83,159.25,159.70
61,158.46,158.97,159.49
62,158.42,158.88,159.29
63,158.45,158.91,159.19
64,158.47,158.90,159.18
65,158.48,158.91,159.35
66,158.43,158.91,159.24
67,158.47,158.90,159.18
68,158.48,158.91,159.14
69,158.48,159.40,160.47
70,159.45,159.99,160.26
71,159.41,159.63,160.04
72,159.99,160.29,160.49
73,159.59,160.18,161.06
74,160.41,160.89,161.78
75,160.52,161.00,161.29
76,160.44,160.87,161.45
77,160.47,160.78,161.27
78,160.20,160.47,160.76
79,160.17,160.45,160.74
80,160.17,160.68,161.17
81,160.15,160.48,160.73
82,160.11,160.44,160.72
83,159.91,160.36,160.74
84,159.93,160.59,161.62
85,160.42,160.84,161.11
86,160.45,161.01,161.30
87,160.40,160.93,161.46
88,160.36,160.79,161.06
89,160.31,160.73,161.31
90,160.34,160.76,161.09
91,160.37,160.77,161.28
92,160.37,160.79,161.08
93,160.34,160.77,161.38
94,159.75,160.30,160.87
95,159.85,160.29,160.75
96,159.81,160.25,160.48
97,159.82,160.25,160.45
98,159.75,160.23,160.73
99,159.80,160.27,160.58
100,159.77,160.25,160.81
101,159.83,160.28,160.57
102,159.82,160.25,160.76
103,159.82,160.32,160.57
104,159.78,160.23,160.76
105,159.47,159.99,160.41
106,159.47,159.93,160.45
107,159.43,159.89,160.13
108,159.85,160.29,160.54
109,160.38,161.43,163.12
110,161.70,162.21,162.49
111,162.28,162.81,163.36
112,164.65,165.12,165.44
113,166.89,167.45,168.01
114,167.09,167.61,167.89
115,167.32,167.85,168.10
116,167.04,167.58,167.88
117,167.41,167.87,168.24
118,167.60,168.15,168.36
119,167.92,168.38,168.83
120,169.21,169.74,170.08
121,169.55,170.08,170.68
122,169.86,170.39,170.72
123,170.26,170.75,171.15
124,170.52,171.40,172.29
125,171.29,171.84,172.30
126,171.04,171.73,172.18
127,171.40,171.83,172.22
128,171.51,172.02,172.31
129,171.88,172.37,172.74
130,172.18,172.67,172.97
131,172.50,173.00,173.33
132,172.73,173.22,173.53
133,172.97,173.49,173.76
134,173.20,173.73,174.06
135,173.49,174.01,174.27
136,173.81,174.15,174.59
137,173.79,174.28,174.59
138,173.99,174.49,175.14
139,174.22,174.75,175.02
140,174.45,174.91,175.42
141,174.54,175.11,175.39
142,174.73,175.34,175.60
143,175.02,175.63,176.22
144,175.36,175.87,176.27
145,175.59,176.11,176.37
146,175.79,176.31,176.73
147,175.89,176.51,176.79
148,176.16,177.40,178.27
149,177.17,177.69,178.02
150,177.04,177.90,178.43
151,177.64,178.16,178.41
152,177.89,178.43,178.91
153,178.16,178.68,178.98
154,178.39,178.89,179.16
155,178.63,179.28,180.01
156,178.59,179.43,180.17
157,178.87,179.41,179.78
158,179.20,179.72,180.26
159,179.42,180.00,180.51
160,179.67,180.18,180.47
161,179.96,180.65,180.98
162,180.53,181.07,181.29
163,180.72,181.26,181.76
164,180.96,181.47,181.76
165,181.16,181.71,182.18
166,180.99,181.76,182.72
167,181.45,182.04,182.49
168,181.72,182.25,182.53
169,181.97,182.69,183.26
170,182.36,182.86,183.43
171,182.43,182.95,183.45
172,182.67,183.36,183.55
173,182.85,183.43,183.99
174,183.07,183.35,183.77
175,183.37,183.69,184.34
176,183.16,183.72,184.11
177,183.53,184.05,184.48
178,183.80,184.27,184.62
179,184.04,184.59,185.12
180,184.31,184.83,185.11
181,185.58,186.12,186.74
182,185.52,186.42,186.71
183,186.17,186.70,187.44
184,186.39,186.90,187.21
185,186.38,187.01,187.41
186,186.59,187.14,187.40
187,186.88,187.41,187.72
188,187.21,187.76,188.26
189,187.49,188.05,188.35
190,187.75,188.66,189.36
191,188.49,189.01,189.31
192,188.68,189.20,189.94
193,188.87,189.40,189.71
194,189.08,189.60,190.42
195,189.05,189.61,189.92
196,189.36,189.88,190.33
197,189.62,190.16,190.44
198,189.80,190.37,190.84
199,190.03,190.60,191.03
200,190.29,190.83,191.18
201,190.53,191.08,191.53
202,190.77,191.31,191.67
203,191.03,191.60,192.07
204,191.26,191.82,192.16
205,191.45,192.02,192.48
206,191.71,192.27,192.59
207,191.97,192.51,192.98
208,192.27,192.83,193.24
209,192.64,193.22,193.90
210,192.89,193.47,194.29
211,193.16,193.74,194.08
212,193.32,193.92,194.43
213,193.54,194.15,194.69
214,196.34,196.97,197.43
215,198.77,199.39,199.75
216,203.86,204.46,204.86
217,199.04,199.62,200.01
218,210.11,210.76,211.22
219,212.23,212.82,213.27
220,210.55,211.18,211.56
221,225.95,226.58,227.04
222,232.98,233.19,233.78
223,235.08,236.59,236.95
224,280.33,282.08,284.73
225,329.42,329.83,330.63
226,329.42,329.92,330.42
227,328.31,329.97,330.55
228,328.25,328.80,329.17
229,328.58,329.17,329.78
230,328.66,329.23,329.53
231,328.94,329.45,329.93
232,328.99,329.51,329.99
233,328.54,329.26,330.17
234,328.70,329.13,329.66
235,328.84,329.45,329.89
236,329.16,329.67,329.96
237,329.41,329.94,330.40
238,329.35,330.10,330.69
239,329.64,330.12,330.58
240,330.74,331.24,331.58
241,331.23,331.83,332.19
242,331.30,331.90,332.29
243,331.70,332.27,332.64
244,331.78,332.30,332.63
245,332.46,332.95,333.19
246,332.38,332.88,333.25
247,332.56,333.13,333.51
248,332.84,333.35,333.73
249,333.18,333.66,333.98
250,333.34,333.81,334.07
251,333.56,334.16,335.83
252,334.14,334.81,336.06
253,335.06,335.80,337.91
254,335.47,336.46,338.27
255,335.66,336.12,336.53
