ICOUNT,MIN,AVG,MAX
16,162.35,162.78,164.08
17,162.36,162.44,162.53
18,162.32,162.43,162.93
19,162.26,162.40,162.48
20,162.22,162.33,162.77
21,162.22,162.31,162.40
22,162.21,162.29,162.49
23,161.55,162.06,162.81
24,161.59,161.68,161.87
25,161.61,161.70,162.14
26,161.57,161.64,161.77
27,161.56,161.64,162.06
28,161.52,161.61,161.72
29,161.93,162.64,164.11
30,162.74,163.08,163.94
31,162.76,162.88,163.37
32,162.82,162.92,163.48
33,162.80,162.87,162.97
34,162.63,162.78,162.93
35,162.61,162.68,162.79
36,162.59,162.70,163.21
37,162.60,162.69,162.75
38,162.62,162.73,163.26
39,162.63,162.71,162.79
40,162.62,162.73,163.17
41,162.64,162.73,162.81
42,162.82,162.93,163.45
43,162.92,162.99,163.10
44,162.91,162.99,163.49
45,162.90,162.98,163.04
46,162.91,162.98,163.05
47,162.89,162.97,163.05
48,162.89,162.98,163.07
49,162.87,162.97,163.41
50,162.70,162.95,163.03
51,162.92,162.99,163.51
52,162.88,162.95,163.01
53,162.84,162.94,163.46
54,162.82,162.93,163.03
55,163.91,164.19,164.71
56,164.48,164.78,165.90
57,164.60,164.68,165.10
58,164.57,164.66,164.74
59,164.27,164.67,165.03
60,164.56,164.77,166.35
61,165.32,165.56,165.82
62,165.41,165.48,166.01
63,165.40,165.49,165.74
64,165.39,165.50,165.85
65,165.42,165.51,165.74
66,164.66,165.28,166.07
67,164.73,164.81,164.93
68,164.84,164.93,165.40
69,165.13,165.25,165.80
70,165.68,165.77,166.29
71,165.68,165.75,165.82
72,165.67,165.75,166.25
73,165.66,165.75,165.84
74,165.69,165.79,166.23
75,165.66,165.78,165.85
76,165.65,165.75,166.25
77,165.69,165.77,165.86
78,165.66,165.76,165.84
79,165.71,166.19,166.85
80,166.12,166.27,167.17
81,166.58,166.97,168.49
82,166.44,166.54,166.77
83,166.19,166.42,167.64
84,166.15,166.25,166.37
85,166.20,166.28,166.69
86,166.20,166.30,166.39
87,166.23,166.32,166.79
