ICOUNT,MIN,AVG,MAX
16,157.92,158.53,159.63
17,157.88,158.24,158.56
18,157.51,158.13,158.53
19,157.55,157.90,158.19
20,157.58,157.99,158.33
21,157.57,157.99,158.55
22,157.54,157.96,158.27
23,157.56,157.99,158.44
24,157.60,157.99,158.35
25,157.62,158.01,158.47
26,156.94,157.58,158.24
27,156.97,157.35,157.68
28,156.95,157.37,157.65
29,156.90,157.34,157.66
30,156.91,157.34,157.64
31,157.03,157.45,157.80
32,157.01,157.43,157.72
33,156.89,157.33,157.80
34,156.85,157.33,157.79
35,157.81,158.27,158.54
36,157.80,158.09,158.55
37,157.71,158.26,158.55
38,157.83,158.29,158.54
39,157.81,158.27,158.77
40,157.83,158.28,158.54
41,157.83,158.92,160.00
42,158.93,159.41,159.70
43,159.01,159.47,160.06
44,159.02,159.47,159.74
45,159.00,159.51,160.06
46,159.29,159.74,160.01
47,159.30,159.75,160.00
48,158.68,159.48,160.20
49,158.73,159.14,159.40
50,158.68,159.40,160.35
51,159.23,159.73,160.00
52,159.26,159.71,159.97
53,159.22,159.73,160.44
54,158.73,159.61,160.39
55,158.69,159.17,159.40
56,158.68,159.17,159.68
57,158.69,159.17,159.38
58,158.72,159.22,159.62
59,158.34,159.03,159.63
60,158.39,158.86,159.19
61,158.37,158.84,159.21
62,158.35,158.84,159.18
63,158.41,158.85,159.34
64,158.40,158.85,159.11
65,158.43,158.90,159.39
66,158.48,158.92,159.20
67,157.39,158.04,159.11
68,158.57,159.03,159.33
69,158.78,159.23,159.56
70,159.41,159.84,160.41
71,160.55,161.06,161.38
72,160.82,161.29,161.79
73,160.85,161.27,161.54
74,160.84,161.29,161.99
75,160.88,161.70,162.59
76,161.32,161.41,161.98
77,161.32,161.81,162.05
78,161.32,161.79,162.32
79,161.23,161.71,162.02
80,161.19,161.71,161.99
81,160.72,161.54,162.27
82,160.68,161.14,161.40
83,160.68,161.13,161.70
84,160.67,161.15,161.39
85,160.74,161.20,161.72
86,160.71,161.18,161.53
87,160.73,161.19,161.53
88,160.76,161.21,161.45
89,160.77,161.22,161.86
90,160.72,161.20,161.44
91,160.73,161.20,161.40
92,160.36,161.05,161.69
93,160.40,160.87,161.11
94,160.41,160.89,161.55
95,160.42,160.90,161.17
96,160.41,160.87,161.40
97,160.39,160.88,161.14
98,160.42,160.89,161.38
99,160.44,160.87,161.51
100,160.42,160.88,161.38
101,160.47,161.21,162.29
102,161.72,162.21,162.47
103,161.62,162.29,163.04
104,162.30,162.81,163.06
105,165.05,165.63,166.05
106,169.77,170.40,170.67
107,170.91,171.60,172.01
108,171.39,171.99,172.33
109,171.74,172.30,172.83
110,171.92,172.61,172.93
111,172.27,172.79,173.35
112,172.30,172.92,173.29
113,172.50,173.07,173.47
114,172.59,173.15,173.43
115,172.72,173.42,174.04
116,173.18,173.77,174.10
117,173.33,173.94,174.32
118,173.83,174.79,175.22
119,174.63,175.18,175.71
120,174.82,175.43,175.75
121,174.77,175.49,176.13
122,175.43,176.00,176.41
123,175.70,176.19,176.50
124,175.36,175.93,176.20
